ROUTE_NO,Trip Type,Departure Time,from,till,Expected Arrival Time
2130,Forward,8:15,CHINCHOLI FATA,DARDE FATA,10:35
2130,Return,7:30,DARDE FATA,CHINCHOLI FATA,9:50
6891,Forward,7:43,SINNAR,DARDE FATA,9:39
6891,Return,8:26,DARDE FATA,SINNAR,10:22
7100,Forward,8:16,SINNAR,CHAS/NANDUR SHINGOTE FATA,9:31
7100,Return,8:34,CHAS/NANDUR SHINGOTE FATA,SINNAR,9:49
7103,Forward,7:54,SINNAR,AADWADI (LAST),9:27
7103,Return,8:38,AADWADI (LAST),SINNAR,10:11
7118,Forward,7:47,SINNAR,DEOPUR VILLEGE,8:58
7118,Return,9:07,DEOPUR VILLEGE,SINNAR,10:18
7161,Forward,8:01,SINNAR,JAKHORI FATA,9:31
7161,Return,8:34,JAKHORI FATA,SINNAR,10:05
7165,Forward,8:41,SINNAR,DATTA NAGAR,10:46
7165,Return,7:19,DATTA NAGAR,SINNAR,9:24
85886,Forward,8:40,SINNAR,NALWADI,10:31
85886,Return,7:34,NALWADI,SINNAR,9:25
7102,Forward,7:41,SINNAR,AUNDHEWADI,8:42
7102,Return,6:09,AUNDHEWADI,SINNAR,7:11
7107,Forward,7:41,SINNAR,BELU VILLEGE,8:54
7107,Return,5:58,BELU VILLEGE,SINNAR,7:11
7130,Forward,7:41,SINNAR,KHAPRALE,8:15
7130,Return,6:36,KHAPRALE,SINNAR,7:11
7131,Forward,7:41,SINNAR,SAYKHEDA FATA,8:35
7131,Return,6:16,SAYKHEDA FATA,SINNAR,7:11
7139,Forward,7:41,SINNAR,VHIGANWADI,9:33
7139,Return,5:18,VHIGANWADI,SINNAR,7:11
7147,Forward,7:41,SINNAR,NIRHALE,9:02
7147,Return,5:50,NIRHALE,SINNAR,7:11
2130,Forward,16:15,CHINCHOLI FATA,DARDE FATA,18:34
2130,Return,15:30,DARDE FATA,CHINCHOLI FATA,17:50
6891,Forward,15:43,SINNAR,DARDE FATA,17:39
6891,Return,16:26,DARDE FATA,SINNAR,18:22
7100,Forward,16:16,SINNAR,CHAS/NANDUR SHINGOTE FATA,17:31
7100,Return,16:34,CHAS/NANDUR SHINGOTE FATA,SINNAR,17:49
7103,Forward,15:54,SINNAR,AADWADI (LAST),17:27
7103,Return,16:38,AADWADI (LAST),SINNAR,18:11
7118,Forward,15:48,SINNAR,DEOPUR VILLEGE,16:57
7118,Return,17:07,DEOPUR VILLEGE,SINNAR,18:17
7161,Forward,16:01,SINNAR,JAKHORI FATA,17:31
7161,Return,16:34,JAKHORI FATA,SINNAR,18:04
7165,Forward,16:41,SINNAR,DATTA NAGAR,18:46
7165,Return,15:19,DATTA NAGAR,SINNAR,17:24
85886,Forward,16:40,SINNAR,NALWADI,18:31
85886,Return,15:34,NALWADI,SINNAR,17:25
7102,Forward,15:41,SINNAR,AUNDHEWADI,16:42
7102,Return,14:09,AUNDHEWADI,SINNAR,15:11
7107,Forward,15:41,SINNAR,BELU VILLEGE,16:54
7107,Return,13:58,BELU VILLEGE,SINNAR,15:11
7130,Forward,15:41,SINNAR,KHAPRALE,16:15
7130,Return,14:36,KHAPRALE,SINNAR,15:11
7131,Forward,15:41,SINNAR,SAYKHEDA FATA,16:35
7131,Return,14:16,SAYKHEDA FATA,SINNAR,15:11
7139,Forward,15:41,SINNAR,VHIGANWADI,17:33
7139,Return,13:18,VHIGANWADI,SINNAR,15:11
7147,Forward,15:41,SINNAR,NIRHALE,17:02
7147,Return,13:50,NIRHALE,SINNAR,15:11